year,sp,effort,source,source2
1999,Cod,0.6871706027751682,FishMIP_assessment F max,FishMIP F scaled
2000,Cod,0.7868491069121555,FishMIP_assessment F max,FishMIP F scaled
2001,Cod,1.2194612987121785,FishMIP_assessment F max,FishMIP F scaled
2002,Cod,0.6815798051124532,FishMIP_assessment F max,FishMIP F scaled
2003,Cod,0.6805763013533697,FishMIP_assessment F max,FishMIP F scaled
2004,Cod,0.6910536269834568,FishMIP_assessment F max,FishMIP F scaled
2005,Cod,0.699240489128668,FishMIP_assessment F max,FishMIP F scaled
2006,Cod,0.692897515584939,FishMIP_assessment F max,FishMIP F scaled
2007,Cod,0.6832731279584308,FishMIP_assessment F max,FishMIP F scaled
2008,Cod,0.6778004448860949,FishMIP_assessment F max,FishMIP F scaled
2009,Cod,0.6772066051666195,FishMIP_assessment F max,FishMIP F scaled
2010,Cod,0.6759379199347245,FishMIP_assessment F max,FishMIP F scaled
1961,Sprat,0.1342125264548951,FishMIP_assessment F max,FishMIP F scaled
1962,Sprat,0.14581341370978154,FishMIP_assessment F max,FishMIP F scaled
1963,Sprat,0.08019088590200771,FishMIP_assessment F max,FishMIP F scaled
1964,Sprat,0.14792678128849374,FishMIP_assessment F max,FishMIP F scaled
1965,Sprat,0.09096841712820972,FishMIP_assessment F max,FishMIP F scaled
1966,Sprat,0.12235884959223278,FishMIP_assessment F max,FishMIP F scaled
1967,Sprat,0.09980765857406595,FishMIP_assessment F max,FishMIP F scaled
1968,Sprat,0.09537582132448508,FishMIP_assessment F max,FishMIP F scaled
1969,Sprat,0.09545030790223658,FishMIP_assessment F max,FishMIP F scaled
1970,Sprat,0.13846400268528378,FishMIP_assessment F max,FishMIP F scaled
1971,Sprat,0.1164861934628674,FishMIP_assessment F max,FishMIP F scaled
1972,Sprat,0.09014068589302404,FishMIP_assessment F max,FishMIP F scaled
1973,Sprat,0.18584381104719316,FishMIP_assessment F max,FishMIP F scaled
1974,Sprat,0.18620938774517604,FishMIP_assessment F max,FishMIP F scaled
1975,Sprat,0.1908617176093724,FishMIP_assessment F max,FishMIP F scaled
1976,Sprat,0.275151916127869,FishMIP_assessment F max,FishMIP F scaled
1977,Sprat,0.16817801685321215,FishMIP_assessment F max,FishMIP F scaled
1978,Sprat,0.18821755325984652,FishMIP_assessment F max,FishMIP F scaled
1979,Sprat,0.3044073334081769,FishMIP_assessment F max,FishMIP F scaled
1980,Sprat,0.14285095189091132,FishMIP_assessment F max,FishMIP F scaled
1981,Sprat,0.2167293552991997,FishMIP_assessment F max,FishMIP F scaled
1982,Sprat,0.06676491019078626,FishMIP_assessment F max,FishMIP F scaled
1983,Sprat,0.06215976538945172,FishMIP_assessment F max,FishMIP F scaled
1984,Sprat,0.08347901956073633,FishMIP_assessment F max,FishMIP F scaled
1985,Sprat,0.049908261544925205,FishMIP_assessment F max,FishMIP F scaled
1986,Sprat,0.07600697696025674,FishMIP_assessment F max,FishMIP F scaled
1987,Sprat,0.0853764474082099,FishMIP_assessment F max,FishMIP F scaled
1988,Sprat,0.06703763892118791,FishMIP_assessment F max,FishMIP F scaled
1989,Sprat,0.0699832864074944,FishMIP_assessment F max,FishMIP F scaled
1990,Sprat,0.08757839111569282,FishMIP_assessment F max,FishMIP F scaled
1991,Sprat,0.1737851387631939,FishMIP_assessment F max,FishMIP F scaled
1992,Sprat,0.26474332611083135,FishMIP_assessment F max,FishMIP F scaled
1993,Sprat,0.19537141175797085,FishMIP_assessment F max,FishMIP F scaled
1994,Sprat,0.45740140558661,FishMIP_assessment F max,FishMIP F scaled
1995,Sprat,0.3765621521114865,FishMIP_assessment F max,FishMIP F scaled
1996,Sprat,0.592097688827239,FishMIP_assessment F max,FishMIP F scaled
